"name","label"
"clust_num","Cluster number"
"hh_num","Household number"
"hh3","Interviewer number"
"hh4","Supervisor number"
"hh5d","Day of interview"
"hh5m","Month of interview"
"hh5y","Year of interview"
"area_type","Area"
"region","Region"
"hh8","HH selected for Questionnaire for Men"
"hh_selected_household","HH selected for Water Quality Testing"
"hh_selected_blank","HH selected for blank testing"
"hhname","Name of head of household"
"hh11h","Start of interview - Hour"
"hh11m","Start of interview - Minutes"
"hh12","Consent"
"hh46","Result of HH interview"
"hh13h","End of interview - Hour"
"hh13m","End of interview - Minutes"
"hh14","Language of the Questionnaire"
"hh15","Language of the Interview"
"hh16","Native language of the Respondent"
"hh17","Translator used"
"hh26a","Rank number of the selected child"
"hh26b","Child line number"
"hh26c","Child's age"
"hh33x_01","Roster to check the consent for interview girls 15-17"
"hh33x_02","Roster to check the consent for interview girls 15-17"
"hh33x_03","Roster to check the consent for interview girls 15-17"
"hh33x_04","Roster to check the consent for interview girls 15-17"
"hh33x_05","Roster to check the consent for interview girls 15-17"
"hh33x_06","Roster to check the consent for interview girls 15-17"
"hh33x_07","Roster to check the consent for interview girls 15-17"
"hh33x_08","Roster to check the consent for interview girls 15-17"
"hh33x_09","Roster to check the consent for interview girls 15-17"
"hh33x_10","Roster to check the consent for interview girls 15-17"
"hh33x_11","Roster to check the consent for interview girls 15-17"
"hh33x_12","Roster to check the consent for interview girls 15-17"
"hh33x_13","Roster to check the consent for interview girls 15-17"
"hh33x_14","Roster to check the consent for interview girls 15-17"
"hh33x_15","Roster to check the consent for interview girls 15-17"
"hh33x_16","Roster to check the consent for interview girls 15-17"
"hh33x_17","Roster to check the consent for interview girls 15-17"
"hh33x_18","Roster to check the consent for interview girls 15-17"
"hh33x_19","Roster to check the consent for interview girls 15-17"
"hh33x_20","Roster to check the consent for interview girls 15-17"
"hh33x_21","Roster to check the consent for interview girls 15-17"
"hh33x_22","Roster to check the consent for interview girls 15-17"
"hh33x_23","Roster to check the consent for interview girls 15-17"
"hh33x_24","Roster to check the consent for interview girls 15-17"
"hh33x_25","Roster to check the consent for interview girls 15-17"
"hh33x_26","Roster to check the consent for interview girls 15-17"
"hh33x_27","Roster to check the consent for interview girls 15-17"
"hh33x_28","Roster to check the consent for interview girls 15-17"
"hh33x_29","Roster to check the consent for interview girls 15-17"
"hh33x_30","Roster to check the consent for interview girls 15-17"
"hh33x_31","Roster to check the consent for interview girls 15-17"
"hh33x_32","Roster to check the consent for interview girls 15-17"
"hh33x_33","Roster to check the consent for interview girls 15-17"
"hh33x_34","Roster to check the consent for interview girls 15-17"
"hh33x_35","Roster to check the consent for interview girls 15-17"
"hh33x_36","Roster to check the consent for interview girls 15-17"
"hh33x_37","Roster to check the consent for interview girls 15-17"
"hh33x_38","Roster to check the consent for interview girls 15-17"
"hh33x_39","Roster to check the consent for interview girls 15-17"
"hh33x_40","Roster to check the consent for interview girls 15-17"
"hh33x_41","Roster to check the consent for interview girls 15-17"
"hh33x_42","Roster to check the consent for interview girls 15-17"
"hh33x_43","Roster to check the consent for interview girls 15-17"
"hh33x_44","Roster to check the consent for interview girls 15-17"
"hh33x_45","Roster to check the consent for interview girls 15-17"
"hh33x_46","Roster to check the consent for interview girls 15-17"
"hh33x_47","Roster to check the consent for interview girls 15-17"
"hh33x_48","Roster to check the consent for interview girls 15-17"
"hh33x_49","Roster to check the consent for interview girls 15-17"
"hh33x_50","Roster to check the consent for interview girls 15-17"
"hh33","Consent for interview girls 15-17"
"hh39x_01","Roster to check the consent for interview boys 15-17"
"hh39x_02","Roster to check the consent for interview boys 15-17"
"hh39x_03","Roster to check the consent for interview boys 15-17"
"hh39x_04","Roster to check the consent for interview boys 15-17"
"hh39x_05","Roster to check the consent for interview boys 15-17"
"hh39x_06","Roster to check the consent for interview boys 15-17"
"hh39x_07","Roster to check the consent for interview boys 15-17"
"hh39x_08","Roster to check the consent for interview boys 15-17"
"hh39x_09","Roster to check the consent for interview boys 15-17"
"hh39x_10","Roster to check the consent for interview boys 15-17"
"hh39x_11","Roster to check the consent for interview boys 15-17"
"hh39x_12","Roster to check the consent for interview boys 15-17"
"hh39x_13","Roster to check the consent for interview boys 15-17"
"hh39x_14","Roster to check the consent for interview boys 15-17"
"hh39x_15","Roster to check the consent for interview boys 15-17"
"hh39x_16","Roster to check the consent for interview boys 15-17"
"hh39x_17","Roster to check the consent for interview boys 15-17"
"hh39x_18","Roster to check the consent for interview boys 15-17"
"hh39x_19","Roster to check the consent for interview boys 15-17"
"hh39x_20","Roster to check the consent for interview boys 15-17"
"hh39x_21","Roster to check the consent for interview boys 15-17"
"hh39x_22","Roster to check the consent for interview boys 15-17"
"hh39x_23","Roster to check the consent for interview boys 15-17"
"hh39x_24","Roster to check the consent for interview boys 15-17"
"hh39x_25","Roster to check the consent for interview boys 15-17"
"hh39x_26","Roster to check the consent for interview boys 15-17"
"hh39x_27","Roster to check the consent for interview boys 15-17"
"hh39x_28","Roster to check the consent for interview boys 15-17"
"hh39x_29","Roster to check the consent for interview boys 15-17"
"hh39x_30","Roster to check the consent for interview boys 15-17"
"hh39x_31","Roster to check the consent for interview boys 15-17"
"hh39x_32","Roster to check the consent for interview boys 15-17"
"hh39x_33","Roster to check the consent for interview boys 15-17"
"hh39x_34","Roster to check the consent for interview boys 15-17"
"hh39x_35","Roster to check the consent for interview boys 15-17"
"hh39x_36","Roster to check the consent for interview boys 15-17"
"hh39x_37","Roster to check the consent for interview boys 15-17"
"hh39x_38","Roster to check the consent for interview boys 15-17"
"hh39x_39","Roster to check the consent for interview boys 15-17"
"hh39x_40","Roster to check the consent for interview boys 15-17"
"hh39x_41","Roster to check the consent for interview boys 15-17"
"hh39x_42","Roster to check the consent for interview boys 15-17"
"hh39x_43","Roster to check the consent for interview boys 15-17"
"hh39x_44","Roster to check the consent for interview boys 15-17"
"hh39x_45","Roster to check the consent for interview boys 15-17"
"hh39x_46","Roster to check the consent for interview boys 15-17"
"hh39x_47","Roster to check the consent for interview boys 15-17"
"hh39x_48","Roster to check the consent for interview boys 15-17"
"hh39x_49","Roster to check the consent for interview boys 15-17"
"hh39x_50","Roster to check the consent for interview boys 15-17"
"hh39","Consent for interview boys 15-17"
"hh44","Consent for Water Quality Testing"
"hh47","Respondent to HH questionnaire"
"hh48","Number of HH members"
"hh49","Number of women 15 - 49 years"
"hh50","Number of men 15 - 49 years [If household is selected for Questionnaire for Men]"
"hh51","Number of children under age 5"
"hh52","Number of children age 5-17"
"introhl","Introduction HH Listing"
"hhaux","Other household memebers"
"hhaddr","Household address"
"hhwq","Water Quality prompt"
"hhfin","Finish"
"hc1a","Religion of household head"
"hc1b","Language of household head"
"hc2","Ethnic group of household head"
"hc3","Number of rooms used for sleeping"
"hc4","Main material of floor"
"hc5","Main material of roof"
"hc6","Main material of exterior wall"
"hc7a","Household have: Fixed telephone line"
"hc7b","Household have: Radio"
"hc7c","Household have: Wall clock"
"hc7d","Household have: Photo camera"
"hc7e","Household have: Sewing machine"
"hc7f","Household have: Bed"
"hc7g","Household have: Table"
"hc7h","Household have: Dining Table"
"hc7i","Household have:  Chairs"
"hc7j","Household have: Sofa set"
"hc7k","Household have: Cabinet/Cupboard"
"hc7l","Household have: Storage Box/Trunk"
"hc7m","Household have: Piano"
"hc7n","Household have: Keyboard"
"hc7o","Household have: Guitar"
"hc8","Household have electricity"
"hc9b","Household have: Refrigerator"
"hc9c","Household have: A Freezer"
"hc9d","Household have: A black and white television"
"hc9e","Household have: A color television?(traditional)"
"hc9f","Household have: A LCD/LED/Plasma or smart television"
"hc9g","Household have: An electric generator/UPS inventor"
"hc9h","Household have: A washing machine"
"hc9i","Household have: An audio player/stero/deck"
"hc9j","Household have: A DVD/VCD/VCR/Blue ray"
"hc9k","Household have: A water cooler"
"hc9l","Household have: A water pump"
"hc9m","Household have: An electric/table/pedestal fan"
"hc9n","Household have: An air cooler"
"hc9o","Household have: Food processor/blender"
"hc9p","Household have: Air conditioner"
"hc10a","Any member of household own: Watch"
"hc10b","Any member of household own: Bicycle"
"hc10c","Any member of household own: Motorcycle or scooter"
"hc10d","Any member of household own: Animal-drawn cart"
"hc10e","Any member of household own: Car, truck or van"
"hc10f","Any member of household own: Boat with motor"
"hc10g","Any member of household own: Boat without motor"
"hc10h","Any member of household own:  A motor bike (Tri - Wheel)"
"hc11","Any member have a computer"
"hc12","Any member have a mobile telephone"
"hc13","Internet access at home"
"hc14","Household owns the dwelling"
"hc15","Any household member own land that can be used for agriculture"
"hc16","How man hectares, or acres or poles of agricultural land members of household ow"
"hc16u","Units of agricultural land members of household owns"
"hc17","Household own any animals"
"hc18a","Cattle, milk cows, or bulls"
"hc18b","Other cattle"
"hc18c","Horses, donkeys, or mules"
"hc18d","Goats"
"hc18e","Sheep"
"hc18f","Chickens"
"hc18g","Ducks"
"hc18h","Other  Poultry such as guinea fowl"
"hc18i","Pigs"
"hc18j","Rabbits"
"hc18k","Grass Cutter"
"hc18l","Other"
"hc19","Any household member own bank account"
"eu1","Type of cookstove mainly used for cooking"
"eu2","Cookstove have a chimney"
"eu3","Cookstove have a fan"
"eu4","Type of energy source for cookstove"
"eu5","Place for cooking"
"eu6","Type of space heating in household"
"eu7","Space heater have a chimney"
"eu8","Type of energy source for heater"
"eu9","Type of lighting in household"
"tn1","Household has mosquito nets"
"tn2","Number of mosquito nets"
"ir1","Interior walls of dwelling sprayed against mosquitos"
"ir2a","Government worker / program"
"ir2b","Private company"
"ir2c","Non-governmental organization"
"ir2x","Other"
"ir2z","DK"
"ir2nr","No response"
"ws1","Main source of drinking water"
"ws2","Main source of water used for other purposes (if bottled water used for drinking"
"ws3","Location of the water source"
"ws4","Time (in minutes) to get water and come back"
"ws5","Person collecting water"
"ws6","Number of times person collected water in the last seven days"
"ws7","There been any time in the last month without sufficient water"
"ws8","Main reason without sufficient water"
