"","ReleaseDate","SurveyId","MaxAgeWomen","FieldworkStart","MinAgeMen","ImplementingOrg","SurveyCharacteristicIds","SurveyType","SurveyYearLabel","IndicatorData","MinAgeWomen","SurveyYear","FieldworkEnd","DHS_CountryCode","NumberOfSamplePoints","CountryName","NumberOfWomen","SubregionName","MaxAgeMen","SurveyNum","SurveyStatus","NumberOfFacilities","UniverseOfMen","RegionName","UniverseOfWomen","Footnotes","PublicationDate","NumberofHouseholds","NumberOfMen"
"1","2017-02-15","AF2015DHS",49,"2015-06-01","15","","92, 39, 6, 1, 101, 79, 31, 14, 57, 34, 17, 22, 20, 24, 21, 13, 36, 59, 3, 11, 26","DHS","2015",1,15,"2015","2016-02-01","AF","950","Afghanistan",29461,"South Asia","49",471,"Completed","","Ever Married Men","South & Southeast Asia","Ever Married Women","","2017-01-15",24395,"10760"
"2","2010-03-15","AL2008DHS",49,"2008-10-01","15","Institute of Statistics (INSTAT) and Institute of Public Health (IShP)","33, 10, 43, 41, 31, 22, 26, 24, 21, 59, 11, 34, 60, 14, 32, 16, 86, 69, 3, 67, 70, 79, 20, 85, 93","DHS","2008-09",1,15,"2008","2009-04-01","AL","450","Albania",7584,"Southern Europe","49",327,"Completed","","All Men","North Africa/West Asia/Europe","All Women","","2010-03-01",7999,"3013"
"3","2019-01-11","AL2017DHS",49,"2017-09-01","15","The National Statistical Institute (INSAT)","135, 70, 93, 33, 41, 10, 43, 11, 34, 60, 67, 31, 68, 22, 79, 63, 32, 38, 69, 24, 21, 14, 59, 17, 36, 85, 6, 3","DHS","2017-18",1,15,"2017","2017-12-01","AL","715","Albania",10861,"Southern Europe","59",525,"Completed","","All Men","North Africa/West Asia/Europe","All Women","","2018-10-01",15823,"6142"
"4","2008-02-27","AO2006MIS",49,"2006-11-01","","COSEP, CONSAÚDE","41, 57, 36, 68, 63, 61, 26, 101, 79, 89, 9","MIS","2006-07",1,15,"2006","2007-04-01","AO","120","Angola",2973,"Middle Africa","",282,"Completed","","","Sub-Saharan Africa","All Women","","2007-11-01",2599,""
"5","2012-01-24","AO2011MIS",49,"2011-01-01","","CONSAÚDE and COSEP","101, 79, 90, 41, 26, 57, 8, 17, 89","MIS","2011",1,15,"2011","2011-05-01","AO","320","Angola",8589,"Middle Africa","",395,"Completed","","","Sub-Saharan Africa","All Women","","2011-12-01",8030,""
"6","2017-06-30","AO2015DHS",49,"2015-11-01","15","Instituto Nacional de Estatistica (INE) ","91, 15, 59, 33, 31, 22, 32, 26, 24, 21, 14, 57, 20, 17, 34, 5, 6, 60, 3, 69, 79, 23, 41, 10, 70, 11, 1, 89, 104, 85","DHS","2015-16",1,15,"2015","2016-02-01","AO","627","Angola",14379,"Middle Africa","54",477,"Completed","","All Men","Sub-Saharan Africa","All Women","","2017-06-01",16109,"5684"
"7","2001-12-01","AM2000DHS",49,"2000-10-01","15","National Statistical Service/MOH","10, 11, 15, 16, 24, 22, 21, 34, 3, 86, 41, 36, 75, 76, 30, 20, 79, 14, 33, 63, 31, 101","DHS","2000",1,15,"2000","2000-12-01","AM","260","Armenia",6430,"West Asia","54",203,"Completed","","All Men","North Africa/West Asia/Europe","All Women","","2001-12-01",5980,"1719"
"8","2006-12-01","AM2005DHS",49,"2005-09-01","15","National Statistic Service (NSS), MOH Center for Health Information and Statistics (MOH)","16, 24, 21, 10, 22, 26, 14, 30, 13, 3, 20, 36, 34, 33, 41, 43, 75, 76, 93, 31, 79, 11, 101","DHS","2005",1,15,"2005","2005-12-01","AM","308","Armenia",6566,"West Asia","49",262,"Completed","","All Men","North Africa/West Asia/Europe","All Women","","2006-12-01",6707,"1447"
"9","2012-05-01","AM2010DHS",49,"2010-10-01","15","The National Statistical Service of The Republic of Armenia and the Ministry of Health ","16, 10, 30, 68, 63, 3, 69, 93, 75, 76, 77, 79, 67, 5, 15, 31, 38, 24, 21, 11, 20, 22, 34, 26, 101","DHS","2010",1,15,"2010","2010-12-01","AM","308","Armenia",5922,"West Asia","49",354,"Completed","","All Men","North Africa/West Asia/Europe","All Women","","2012-02-01",6700,"1584"
"10","2017-08-30","AM2016DHS",49,"2015-12-01","15","National Statistical Service(NSS)and the Ministry of Health (MOH)","16, 33, 31, 22, 26, 38, 69, 24, 21, 17, 87, 94, 15, 41, 10, 11, 6, 101, 67, 79, 92, 14, 20, 30, 34, 36, 60, 3, 93","DHS","2015-16",1,15,"2016","2016-04-01","AM","313","Armenia",6116,"West Asia","49",492,"Completed","","All Men","North Africa/West Asia/Europe","All Women","","2017-08-01",7893,"2755"
"11","2008-08-06","AZ2006DHS",49,"2006-07-01","15","State Statistical Committee of Azerbaijan","6, 16, 24, 21, 15, 10, 31, 22, 14, 30, 36, 34, 13, 11, 43, 32, 20, 59, 67, 69, 41, 101, 79, 86, 33, 63, 3, 93","DHS","2006",1,15,"2006","2006-11-01","AZ","350","Azerbaijan",8444,"West Asia","59",279,"Completed","","All Men","North Africa/West Asia/Europe","All Women","","2008-05-01",7180,"2558"
"12","1994-12-01","BD1994DHS",49,"1993-11-01","","Mitra & Associates/ NIPORT","11, 22, 2, 20, 17, 5, 16, 13, 12, 3, 101","DHS","1993-94",1,10,"1994","1994-03-01","BD","301","Bangladesh",9640,"South Asia","",59,"Completed","301","Husbands","South & Southeast Asia","Ever Married Women","Data collected for women 10-49,  indicators calculated for women 15-49.  A total of 304 primary sampling units were selected, but fieldwork in 3 sample points was not possible.","1994-12-01",9174,"3284"
"13","1997-12-01","BD1997DHS",49,"1996-11-01","15","Mitra & Associates/ NIPORT","2, 10, 11, 21, 22, 24, 17, 16, 101","DHS","1996-97",1,10,"1997","1997-03-01","BD","313","Bangladesh",9127,"South Asia","59",89,"Completed","310","Currently Married Men","South & Southeast Asia","Ever Married Women","Data collected for women 10-49,  indicators calculated for women 15-49","1997-12-01",8682,"3346"
"14","2001-05-01","BD2000DHS",49,"1999-11-01","15","Mitra & Associates / NIPORT","10, 11, 21, 22, 26, 5, 3, 17, 86, 16, 20, 101","DHS","1999-00",1,10,"2000","2000-03-01","BD","341","Bangladesh",10544,"South Asia","59",135,"Completed","","Currently Married Men","South & Southeast Asia","Ever Married Women","Data collected for women 10-49,  indicators calculated for women 15-49","2001-05-01",9854,"2556"
"15","2005-05-01","BD2004DHS",49,"2004-01-01","15","Mitra & Associates","24, 21, 10, 22, 26, 20, 13, 9, 3, 36, 2, 17, 34, 71, 32, 5, 11, 61, 79, 16, 101","DHS","2004",1,10,"2004","2004-05-01","BD","361","Bangladesh",11440,"South Asia","54",236,"Completed","","All Men","South & Southeast Asia","Ever Married Women","Data collected for women 10-49,  indicators calculated for women 15-49","2005-05-01",10500,"4297"
