"","FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyType","SurveyYearLabel","SurveyYear","DHS_CountryCode","FileName","CountryName"
"1","Stata dataset (.dta)",5311878,"Survey Datasets",348,"AF2010OTH","Children's Raw","September, 09 2016 13:30:59","OTH","2010","2010","AF","AFCH66DT.ZIP","Afghanistan"
"2","Flat ASCII data (.dat)",6100571,"Survey Datasets",348,"AF2010OTH","Children's Raw","September, 09 2016 13:21:25","OTH","2010","2010","AF","AFCH66FL.ZIP","Afghanistan"
"3","SAS dataset (.sas7bdat) ",7102306,"Survey Datasets",348,"AF2010OTH","Children's Raw","September, 09 2016 13:15:22","OTH","2010","2010","AF","AFCH66SD.ZIP","Afghanistan"
"4","SPSS dataset (.sav)",9340666,"Survey Datasets",348,"AF2010OTH","Children's Raw","September, 09 2016 13:28:51","OTH","2010","2010","AF","AFCH66SV.ZIP","Afghanistan"
"5","Stata dataset (.dta)",3359643,"Survey Datasets",348,"AF2010OTH","Household Raw","September, 09 2016 13:31:23","OTH","2010","2010","AF","AFHH66DT.ZIP","Afghanistan"
"6","Flat ASCII data (.dat)",3776642,"Survey Datasets",348,"AF2010OTH","Household Raw","September, 09 2016 13:21:51","OTH","2010","2010","AF","AFHH66FL.ZIP","Afghanistan"
"7","SAS dataset (.sas7bdat) ",4496163,"Survey Datasets",348,"AF2010OTH","Household Raw","September, 09 2016 13:17:25","OTH","2010","2010","AF","AFHH66SD.ZIP","Afghanistan"
"8","SPSS dataset (.sav)",5114645,"Survey Datasets",348,"AF2010OTH","Household Raw","September, 09 2016 13:29:09","OTH","2010","2010","AF","AFHH66SV.ZIP","Afghanistan"
"9","Hierarchical ASCII data (.dat)",12046383,"Survey Datasets",348,"AF2010OTH","Individual Raw","July, 12 2013 15:29:55","OTH","2010","2010","AF","AFIQ66.ZIP","Afghanistan"
"10","Stata dataset (.dta)",9991115,"Survey Datasets",348,"AF2010OTH","Individual Raw","September, 09 2016 13:31:49","OTH","2010","2010","AF","AFIQ66DT.ZIP","Afghanistan"
"11","Flat ASCII data (.dat)",8797256,"Survey Datasets",348,"AF2010OTH","Individual Raw","September, 09 2016 13:22:16","OTH","2010","2010","AF","AFIQ66FL.ZIP","Afghanistan"
"12","SAS dataset (.sas7bdat) ",13824668,"Survey Datasets",348,"AF2010OTH","Individual Raw","September, 09 2016 13:17:47","OTH","2010","2010","AF","AFIQ66SD.ZIP","Afghanistan"
"13","SPSS dataset (.sav)",8786344,"Survey Datasets",348,"AF2010OTH","Individual Raw","September, 09 2016 13:29:52","OTH","2010","2010","AF","AFIQ66SV.ZIP","Afghanistan"
"14","Stata dataset (.dta)",2632253,"Survey Datasets",348,"AF2010OTH","Household Member Raw
","September, 09 2016 13:32:12","OTH","2010","2010","AF","AFPQ66DT.ZIP","Afghanistan"
"15","Flat ASCII data (.dat)",2838504,"Survey Datasets",348,"AF2010OTH","Household Member Raw
","September, 09 2016 13:22:31","OTH","2010","2010","AF","AFPQ66FL.ZIP","Afghanistan"
"16","SAS dataset (.sas7bdat) ",3626566,"Survey Datasets",348,"AF2010OTH","Household Member Raw
","September, 09 2016 13:18:02","OTH","2010","2010","AF","AFPQ66SD.ZIP","Afghanistan"
"17","SPSS dataset (.sav)",6448434,"Survey Datasets",348,"AF2010OTH","Household Member Raw
","September, 09 2016 13:30:06","OTH","2010","2010","AF","AFPQ66SV.ZIP","Afghanistan"
"18","Stata dataset (.dta)",488880,"Survey Datasets",348,"AF2010OTH","Verbal Autopsy","September, 09 2016 13:32:34","OTH","2010","2010","AF","AFVA66DT.ZIP","Afghanistan"
"19","Flat ASCII data (.dat)",586017,"Survey Datasets",348,"AF2010OTH","Verbal Autopsy","September, 09 2016 13:22:53","OTH","2010","2010","AF","AFVA66FL.ZIP","Afghanistan"
"20","SAS dataset (.sas7bdat) ",671201,"Survey Datasets",348,"AF2010OTH","Verbal Autopsy","September, 09 2016 13:19:14","OTH","2010","2010","AF","AFVA66SD.ZIP","Afghanistan"
"21","SPSS dataset (.sav)",580096,"Survey Datasets",348,"AF2010OTH","Verbal Autopsy","September, 09 2016 13:30:20","OTH","2010","2010","AF","AFVA66SV.ZIP","Afghanistan"
"22","Stata dataset (.dta)",9773807,"Survey Datasets",471,"AF2015DHS","Births Recode","August, 18 2020 14:18:25","DHS","2015","2015","AF","AFBR71DT.ZIP","Afghanistan"
"23","Flat ASCII data (.dat)",10092817,"Survey Datasets",471,"AF2015DHS","Births Recode","August, 18 2020 14:19:47","DHS","2015","2015","AF","AFBR71FL.ZIP","Afghanistan"
"24","SAS dataset (.sas7bdat) ",17858785,"Survey Datasets",471,"AF2015DHS","Births Recode","August, 18 2020 14:19:06","DHS","2015","2015","AF","AFBR71SD.ZIP","Afghanistan"
"25","SPSS dataset (.sav)",12132861,"Survey Datasets",471,"AF2015DHS","Births Recode","August, 18 2020 14:18:02","DHS","2015","2015","AF","AFBR71SV.ZIP","Afghanistan"
"26","Stata dataset (.dta)",4545642,"Survey Datasets",471,"AF2015DHS","Couples' Recode","August, 18 2020 14:18:31","DHS","2015","2015","AF","AFCR71DT.ZIP","Afghanistan"
"27","Flat ASCII data (.dat)",4789670,"Survey Datasets",471,"AF2015DHS","Couples' Recode","August, 18 2020 14:19:55","DHS","2015","2015","AF","AFCR71FL.ZIP","Afghanistan"
"28","SAS dataset (.sas7bdat) ",6548782,"Survey Datasets",471,"AF2015DHS","Couples' Recode","August, 18 2020 14:19:18","DHS","2015","2015","AF","AFCR71SD.ZIP","Afghanistan"
"29","SPSS dataset (.sav)",4894694,"Survey Datasets",471,"AF2015DHS","Couples' Recode","August, 18 2020 14:18:09","DHS","2015","2015","AF","AFCR71SV.ZIP","Afghanistan"
"30","Stata dataset (.dta)",4799104,"Survey Datasets",471,"AF2015DHS","Household Recode","August, 18 2020 14:18:17","DHS","2015","2015","AF","AFHR71DT.ZIP","Afghanistan"
"31","Flat ASCII data (.dat)",5043121,"Survey Datasets",471,"AF2015DHS","Household Recode","August, 18 2020 14:19:37","DHS","2015","2015","AF","AFHR71FL.ZIP","Afghanistan"
"32","SAS dataset (.sas7bdat) ",7056726,"Survey Datasets",471,"AF2015DHS","Household Recode","August, 18 2020 14:18:46","DHS","2015","2015","AF","AFHR71SD.ZIP","Afghanistan"
"33","SPSS dataset (.sav)",5379145,"Survey Datasets",471,"AF2015DHS","Household Recode","August, 18 2020 14:17:54","DHS","2015","2015","AF","AFHR71SV.ZIP","Afghanistan"
"34","Hierarchical ASCII data (.dat)",18564025,"Survey Datasets",471,"AF2015DHS","Individual Recode","August, 18 2020 14:19:25","DHS","2015","2015","AF","AFIR71.ZIP","Afghanistan"
"35","Stata dataset (.dta)",13851660,"Survey Datasets",471,"AF2015DHS","Individual Recode","August, 18 2020 14:18:15","DHS","2015","2015","AF","AFIR71DT.ZIP","Afghanistan"
"36","Flat ASCII data (.dat)",14558786,"Survey Datasets",471,"AF2015DHS","Individual Recode","August, 18 2020 14:19:34","DHS","2015","2015","AF","AFIR71FL.ZIP","Afghanistan"
"37","SAS dataset (.sas7bdat) ",21815702,"Survey Datasets",471,"AF2015DHS","Individual Recode","August, 18 2020 14:18:42","DHS","2015","2015","AF","AFIR71SD.ZIP","Afghanistan"
"38","SPSS dataset (.sav)",15026343,"Survey Datasets",471,"AF2015DHS","Individual Recode","August, 18 2020 14:17:52","DHS","2015","2015","AF","AFIR71SV.ZIP","Afghanistan"
"39","Stata dataset (.dta)",5275344,"Survey Datasets",471,"AF2015DHS","Children's Recode","August, 18 2020 14:18:19","DHS","2015","2015","AF","AFKR71DT.ZIP","Afghanistan"
"40","Hierarchical ASCII data (.dat)",4675,"Survey Datasets",471,"AF2015DHS","Fieldworker Questionnaire","August, 03 2017 16:46:54","DHS","2015","2015","AF","AFFW71.ZIP","Afghanistan"
"41","Stata dataset (.dta)",5830,"Survey Datasets",471,"AF2015DHS","Fieldworker Questionnaire","August, 03 2017 16:46:54","DHS","2015","2015","AF","AFFW71DT.ZIP","Afghanistan"
