"","DataId","SurveyId","Indicator","IsPreferred","Value","SDRID","Precision","RegionId","SurveyYearLabel","SurveyType","SurveyYear","IndicatorOrder","DHS_CountryCode","CILow","CountryName","IndicatorType","CharacteristicId","CharacteristicCategory","IndicatorId","CharacteristicOrder","CharacteristicLabel","ByVariableLabel","DenominatorUnweighted","DenominatorWeighted","CIHigh","IsTotal","ByVariableId","LevelRank"
"1",35198,"AL2017DHS","Women with any anemia",1,22.7,"ANANEMWANY",1,"","2017-18","DHS",2017,114603010,"AL","","Albania","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",10461,10344,"",1,0,""
"2",626839,"AM2016DHS","Women with any anemia",1,13.4,"ANANEMWANY",1,"","2015-16","DHS",2016,114603010,"AM","","Armenia","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",5807,5769,"",1,0,""
"3",743377,"BD2011DHS","Women with any anemia",1,42.4,"ANANEMWANY",1,"","2011","DHS",2011,114603010,"BD","","Bangladesh","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",5666,5676,"",1,0,""
"4",742749,"BJ2017DHS","Women with any anemia",1,57.7,"ANANEMWANY",1,"","2017-18","DHS",2017,114603010,"BJ","","Benin","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",8011,8018,"",1,0,""
"5",164125,"BF2021DHS","Women with any anemia",1,55.6,"ANANEMWANY",1,"","2021","DHS",2021,114603010,"BF","","Burkina Faso","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",8765,8835,"",1,0,""
"6",617080,"BU2016DHS","Women with any anemia",1,39.3,"ANANEMWANY",1,"","2016-17","DHS",2016,114603010,"BU","","Burundi","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",8539,8587,"",1,0,""
"7",578528,"KH2014DHS","Women with any anemia",1,45.4,"ANANEMWANY",1,"","2014","DHS",2014,114603010,"KH","","Cambodia","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",11390,11286,"",1,0,""
"8",496274,"CM2018DHS","Women with any anemia",1,39.7,"ANANEMWANY",1,"","2018","DHS",2018,114603010,"CM","","Cameroon","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",6809,6829,"",1,0,""
"9",723017,"CG2011DHS","Women with any anemia",1,54.2,"ANANEMWANY",1,"","2011-12","DHS",2011,114603010,"CG","","Congo","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",5562,5364,"",1,0,""
"10",591349,"CD2013DHS","Women with any anemia",1,38.4,"ANANEMWANY",1,"","2013-14","DHS",2013,114603010,"CD","","Congo Democratic Republic","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",9329,9350,"",1,0,""
"11",164644,"CI2021DHS","Women with any anemia",1,60.5,"ANANEMWANY",1,"","2021","DHS",2021,114603010,"CI","","Cote d'Ivoire","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",7085,7063,"",1,0,""
"12",192188,"EG2014DHS","Women with any anemia",1,25.2,"ANANEMWANY",1,"","2014","DHS",2014,114603010,"EG","","Egypt","I",1000,"Total","AN_ANEM_W_ANY",0,"Total","",7189,7161,"",1,0,""
